lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,2,20,99,100,0,100,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,3.53814252525253,0.342177270094096,3.603627
5,0,50,200,200,35000000,50000000,2,20,99,100,0,100,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,3.39524976767677,0.319166115813132,3.458424
5,0,50,200,200,35000000,75000000,2,20,99,99.969696969697,0.301511344577763,100,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,3.29317377777778,0.323393682125147,3.336379
5,0,50,200,200,35000000,100000000,2,20,99,99.4141414141414,3.20716704098454,100,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,3.2436704040404,0.311524541105804,3.266922
5,0,50,200,200,35000000,125000000,2,20,99,93.1111111111111,8.06717826004639,95,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,3.41933826262626,0.263785016191935,3.413894
5,0,50,200,200,35000000,150000000,2,20,99,77.2424242424242,10.732452131594,78,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,4.06303855555556,0.352084696060225,4.056437
5,0,50,200,200,35000000,175000000,2,20,99,58.7777777777778,12.4084858682254,59,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,5.30625061616162,0.707278457867034,5.22713
5,0,50,200,200,35000000,200000000,2,20,99,43.7070707070707,11.2497188402531,42,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,7.05720241414141,1.119025117037,7.025503
5,0,50,200,200,35000000,225000000,2,20,99,33.5757575757576,8.79597647941063,32,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,8.84078650505051,1.37791126706503,8.850063
5,0,50,200,200,35000000,250000000,2,20,99,27.0707070707071,6.78421415787027,26,80000000,0,80000000,78278008.2402644,61450.4995229453,78283835.080985,415.600594373737,10.4443346663893,415.626321,10.5716530909091,1.66442927328568,10.337095
