lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA
5,0,50,0,200,10000000,100,50,0,50
5,0,50,0,200,30000000,100,50,0,50
5,0,50,0,200,50000000,100,50,0,50
5,0,50,0,200,70000000,100,25.14,16.2872075971644,17
5,0,50,0,200,90000000,100,2.03,3.05985739418151,0
5,0,50,250,200,10000000,100,50,0,50
5,0,50,250,200,30000000,100,50,0,50
5,0,50,250,200,50000000,100,50,0,50
5,0,50,250,200,70000000,100,23.24,16.2220202007623,16
5,0,50,250,200,90000000,100,2.49,3.38891538323805,0
5,0,50,500,200,10000000,100,50,0,50
5,0,50,500,200,30000000,100,50,0,50
5,0,50,500,200,50000000,100,49.93,0.497569851956243,50
5,0,50,500,200,70000000,100,22.16,15.8450323604924,15
5,0,50,500,200,90000000,100,2.55,3.33749739908346,0.5
5,0,50,750,200,10000000,100,50,0,50
5,0,50,750,200,30000000,100,50,0,50
5,0,50,750,200,50000000,100,38.01,14.6055856203417,48
5,0,50,750,200,70000000,100,5.11,3.33907081976318,4
5,0,50,750,200,90000000,100,4.16,2.36865047031111,4
5,0,50,1000,200,10000000,100,48.97,6.97101502688457,50
5,0,50,1000,200,30000000,100,47.84,9.57661292689201,50
5,0,50,1000,200,50000000,100,45.29,11.9428732816782,50
5,0,50,1000,200,70000000,100,12.4,11.8951649629145,8
5,0,50,1000,200,90000000,100,3.23,2.96734755550332,3
