lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA
5,0,50,0,200,10000000,100,50,0,50
5,0,50,0,200,30000000,100,50,0,50
5,0,50,0,200,50000000,100,50,0,50
5,0,50,0,200,70000000,100,50,0,50
5,0,50,0,200,90000000,100,48.93,4.87677447632442,50
5,0,50,250,200,10000000,100,50,0,50
5,0,50,250,200,30000000,100,50,0,50
5,0,50,250,200,50000000,100,50,0,50
5,0,50,250,200,70000000,100,49.94,0.508910501944987,50
5,0,50,250,200,90000000,100,48.64,4.93087571872739,50
5,0,50,500,200,10000000,100,50,0,50
5,0,50,500,200,30000000,100,50,0,50
5,0,50,500,200,50000000,100,50,0,50
5,0,50,500,200,70000000,100,49.86,0.92135166407235,50
5,0,50,500,200,90000000,100,49.04,4.10449371870255,50
5,0,50,750,200,10000000,100,50,0,50
5,0,50,750,200,30000000,100,50,0,50
5,0,50,750,200,50000000,100,49.83,1.04499770431337,50
5,0,50,750,200,70000000,100,44.77,8.98916856639987,50
5,0,50,750,200,90000000,100,36.42,14.2106660752771,43.5
5,0,50,1000,200,10000000,100,50,0,50
5,0,50,1000,200,30000000,100,49.98,0.2,50
5,0,50,1000,200,50000000,100,47.91,8.49253385704946,50
5,0,50,1000,200,70000000,100,46.99,9.43076311489653,50
5,0,50,1000,200,90000000,100,44.07,12.2690832599834,50
