lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,99,99.2424242424242,2.9832556831829,100,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,1.56838267676768,0.199717318375545,1.624354
5,0,50,200,200,35000000,50000000,99,65.6565656565657,14.3783862852047,70,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,2.91520227272727,0.843332510760197,2.729415
5,0,50,200,200,35000000,75000000,99,31.7575757575758,8.85494317050514,32,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,7.72643915151515,2.32456542560773,7.619788
5,0,50,200,200,35000000,100000000,99,21.2727272727273,5.34296826052936,21,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,12.3712536363636,3.89505266044819,12.061707
5,0,50,200,200,35000000,125000000,99,16.9191919191919,4.49643116458967,17,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,18.0120895454545,5.2825446563487,17.411156
5,0,50,200,200,35000000,150000000,99,14.1515151515152,3.87657443028553,14,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,24.618427,5.97545115981977,23.926045
5,0,50,200,200,35000000,175000000,99,12.3333333333333,3.52252228741084,13,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,28.829665969697,11.6073553156529,27.261325
5,0,50,200,200,35000000,200000000,99,10.989898989899,3.47144312017807,12,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,31.7795375757576,15.1832583372572,29.630994
5,0,50,200,200,35000000,225000000,99,9.76767676767677,2.95830992438934,10,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,34.9753163838384,24.2089691492508,30.547934
5,0,50,200,200,35000000,250000000,99,8.83838383838384,2.78738803456683,9,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,34.7476758181818,23.7443435533682,31.10813
5,0,50,200,200,35000000,275000000,99,8.18181818181818,2.73064108628634,8,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,36.77455,25.2265943485346,32.423975
5,0,50,200,200,35000000,300000000,99,7.51515151515152,2.65485168640527,8,100000000,0,100000000,63447860.6578617,953734.68017053,63547230.827628,25.5336381010101,0.392089931794639,25.513289,37.34837,26.8230836833582,31.869647
5,0,50,400,200,35000000,25000000,99,68.9393939393939,14.8693755834328,73,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,3.17331563636364,1.05523873323128,2.763379
5,0,50,400,200,35000000,50000000,99,22.1414141414141,5.59155723081793,23,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,13.6763143939394,4.06564799159959,12.981693
5,0,50,400,200,35000000,75000000,99,14.7070707070707,3.72046882401394,15,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,26.1324147070707,8.11816173702472,25.440741
5,0,50,400,200,35000000,100000000,99,11.3030303030303,3.11498860172365,12,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,40.202392,22.8671365657587,36.828848
5,0,50,400,200,35000000,125000000,99,9.36363636363636,2.70092404994331,10,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,48.152032040404,33.4449833297733,40.947665
5,0,50,400,200,35000000,150000000,99,8,2.54750778573243,8,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,51.426554030303,33.9213272795994,44.005212
5,0,50,400,200,35000000,175000000,99,7.16161616161616,2.38920647191707,7,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,52.5680327676768,34.4590261317063,45.511565
5,0,50,400,200,35000000,200000000,99,6.41414141414141,2.14290524236541,7,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,56.668866050505,38.4225844856718,48.408568
5,0,50,400,200,35000000,225000000,99,5.82828282828283,2.20407972392017,6,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,62.9851468367347,43.7156842646104,51.05587
5,0,50,400,200,35000000,250000000,99,5.37373737373737,2.11209277483432,5,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,69.9173347040816,49.5185424445857,53.9080135
5,0,50,400,200,35000000,275000000,99,4.92929292929293,1.89118538171453,5,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,71.8679836836735,55.4395906332552,52.655445
5,0,50,400,200,35000000,300000000,99,4.58585858585859,1.85169586369758,5,100000000,0,100000000,34398083.6825584,1192933.4395297,34587591.683336,25.4902905656566,0.256220549918451,25.521421,78.4569676428571,64.3407534483808,53.840866
5,0,50,600,200,35000000,25000000,99,6.70707070707071,2.41277435894747,7,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,79.2812545816327,41.4164278448384,72.506314
5,0,50,600,200,35000000,50000000,99,4.17171717171717,1.9899769460279,4,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,126.925482309278,67.7676126106874,93.998613
5,0,50,600,200,35000000,75000000,99,3.17171717171717,1.89543169408634,3,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,141.990320876404,71.3290803286545,100.814846
5,0,50,600,200,35000000,100000000,99,2.36363636363636,1.69906664326507,2,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,156.859012367089,71.7918245480997,113.304261
5,0,50,600,200,35000000,125000000,99,1.91919191919192,1.5887150993406,2,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,178.612452605263,73.7738940863884,178.7671145
5,0,50,600,200,35000000,150000000,99,1.44444444444444,1.36443321732328,1,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,197.250177223881,70.6299118108741,236.514393
5,0,50,600,200,35000000,175000000,99,1.22222222222222,1.29011592229943,1,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,208.363748274194,69.1449321258679,248.6535655
5,0,50,600,200,35000000,200000000,99,0.97979797979798,1.13371160335762,1,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,212.340223178571,69.7327397790975,252.4777315
5,0,50,600,200,35000000,225000000,99,0.737373737373737,1.00596038573623,0,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,220.813132772727,67.0307110550322,256.085467
5,0,50,600,200,35000000,250000000,99,0.585858585858586,0.845276201811574,0,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,237.134976076923,58.683097062653,262.692385
5,0,50,600,200,35000000,275000000,99,0.505050505050505,0.747427388784251,0,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,248.387985837838,49.7433256805726,264.501298
5,0,50,600,200,35000000,300000000,99,0.393939393939394,0.711683571886767,0,100000000,0,100000000,5106084.42091633,1436541.54835819,5137459.415023,25.5568531111111,0.223412104814924,25.559266,248.386549071429,49.4119182037726,263.9136755
5,0,50,800,200,35000000,25000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,50000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,75000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,100000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,125000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,150000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,175000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,200000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,225000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,250000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,275000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,800,200,35000000,300000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5043820606061,0.171059286949972,25.485336,NaN,NaN,NaN
5,0,50,1000,200,35000000,25000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,50000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,75000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,100000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,125000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,150000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,175000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,200000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,225000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,250000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,275000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
5,0,50,1000,200,35000000,300000000,99,0,0,0,100000000,0,100000000,0,0,0,25.5214584848485,0.193623750655874,25.522678,NaN,NaN,NaN
