lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,99,99.2626262626263,0.790064045270867,99,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,1.49145450505051,0.0427421618157189,1.483603
5,0,50,200,200,35000000,50000000,99,99.2828282828283,0.7829875287719,99,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,1.46206317171717,0.0634180304375046,1.460191
5,0,50,200,200,35000000,75000000,99,96.7979797979798,5.3642425297478,99,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,1.47713161616162,0.106744888272365,1.460202
5,0,50,200,200,35000000,100000000,99,61.030303030303,22.975343725285,64,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,2.67103666666667,1.07852243955783,2.218152
5,0,50,200,200,35000000,125000000,99,25.1010101010101,8.08437009207342,23,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,5.87509294949495,1.30330281807977,5.88553
5,0,50,200,200,35000000,150000000,99,17.1010101010101,3.04555530774767,17,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,8.17261952525253,1.25259157164897,7.99942
5,0,50,200,200,35000000,175000000,99,13.6868686868687,2.26619552017079,14,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,10.1698168282828,1.87104706670797,9.755063
5,0,50,200,200,35000000,200000000,99,11.7272727272727,2.15623529545146,12,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,11.6614410707071,2.21662165269903,11.232242
5,0,50,200,200,35000000,225000000,99,10.3939393939394,1.97338506342131,10,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,12.950418969697,2.55884257380931,12.63283
5,0,50,200,200,35000000,250000000,99,9.23232323232323,2.13727025416832,9,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,14.2884534747475,3.55311732678221,13.606639
5,0,50,200,200,35000000,275000000,99,8.21212121212121,2.16781996801605,8,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,15.9104174646465,5.39566938063043,14.719701
5,0,50,200,200,35000000,300000000,99,7.19191919191919,2.02875636821346,7,100000000,0,100000000,99166993.2941314,12258.8518884496,99167680.675697,802.800238757576,10.1710731508563,803.062812,17.522856979798,5.86980447655874,16.124563
5,0,50,400,200,35000000,25000000,99,99.4242424242424,0.671442387257692,100,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,1.48892017171717,0.0527322975613889,1.488319
5,0,50,400,200,35000000,50000000,99,99.4242424242424,0.701178440867173,100,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,1.45784760606061,0.0556382159565979,1.459081
5,0,50,400,200,35000000,75000000,99,97.5050505050505,3.71531232343776,99,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,1.44753538383838,0.0694604111283288,1.449248
5,0,50,400,200,35000000,100000000,99,62.3636363636364,20.8568759990045,66,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,2.56489906060606,1.12119217126317,2.151665
5,0,50,400,200,35000000,125000000,99,24.7878787878788,6.16321001584754,23,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,5.74133742424242,1.04296377143673,5.725353
5,0,50,400,200,35000000,150000000,99,16.8888888888889,2.64146252349689,17,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,8.13345846464646,1.16283289273952,7.992186
5,0,50,400,200,35000000,175000000,99,13.6767676767677,2.44877429909825,13,100000000,0,100000000,99164262.7182114,11480.9757671434,99165202.159108,1514.33738976768,15.7410930570779,1514.065824,9.89385243434343,1.66817607339617,9.740431
