lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,99,100,0,100,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,1.50585092929293,0.0529400984552743,1.506619
5,0,50,200,200,35000000,50000000,99,99.7878787878788,1.31143111789923,100,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,1.47791232323232,0.0608307306368485,1.481887
5,0,50,200,200,35000000,75000000,99,76.2121212121212,18.6991611332487,79,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,2.06757539393939,0.736808187323205,1.817273
5,0,50,200,200,35000000,100000000,99,25.2424242424242,8.24384855277188,23,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,5.90184243434344,1.34053668877502,5.92706
5,0,50,200,200,35000000,125000000,99,16.2121212121212,2.49191643025238,16,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,8.32481292929293,1.3936315678987,8.135529
5,0,50,200,200,35000000,150000000,99,13.0909090909091,2.1716677927011,13,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,10.0994108585859,1.90383868023242,9.883109
5,0,50,200,200,35000000,175000000,99,11.2121212121212,1.93397511366091,11,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,11.3703758484848,2.41055447189666,11.050827
5,0,50,200,200,35000000,200000000,99,10.010101010101,1.99230637291818,10,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,12.7201750606061,2.99258547868274,12.378854
5,0,50,200,200,35000000,225000000,99,8.95959595959596,2.06486245981244,9,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,13.8150078181818,3.67339822899947,12.790271
5,0,50,200,200,35000000,250000000,99,8.08080808080808,1.81083342902906,8,80000000,0,80000000,79170173.0196186,12165.3271097652,79170854.490421,805.697591646465,10.1710731399595,805.960165,14.8674004040404,4.52905384107078,13.57376
