lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,SIcancel,Band,Band_FWA,GroupCount,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,-20,80000000,80000000,99,1.12618094949495,0.0448298400647617,1.117532,23.6328306868687,1.19196996755112,23.87489
5,0,50,200,200,-15,80000000,80000000,99,1.12618094949495,0.0448298400647617,1.117532,15.8079788383838,1.14130674485271,16.126159
5,0,50,200,200,-10,80000000,80000000,99,1.12618094949495,0.0448298400647617,1.117532,9.01533155555556,0.952093404010259,9.315558
5,0,50,200,200,-5,80000000,80000000,99,1.12618094949495,0.0448298400647617,1.117532,4.6077394949495,0.768409198868256,4.739652
5,0,50,200,200,0,80000000,80000000,99,1.12618094949495,0.0448298400647617,1.117532,2.27329712121212,0.617689296952769,2.321413
5,0,50,400,200,-20,80000000,80000000,99,0.592021262626263,0.0147399646869027,0.590979,23.7419511616162,1.20417445643879,24.04748
5,0,50,400,200,-15,80000000,80000000,99,0.592021262626263,0.0147399646869027,0.590979,15.9002375050505,1.16357139784052,16.235849
5,0,50,400,200,-10,80000000,80000000,99,0.592021262626263,0.0147399646869027,0.590979,9.08127427272727,0.969867662058706,9.311747
5,0,50,400,200,-5,80000000,80000000,99,0.592021262626263,0.0147399646869027,0.590979,4.65353788888889,0.774393643910681,4.75781
5,0,50,400,200,0,80000000,80000000,99,0.592021262626263,0.0147399646869027,0.590979,2.31462606060606,0.627897892924589,2.352214
5,0,50,600,200,-20,80000000,80000000,99,0.388438696969697,0.00841020558177051,0.388832,23.6516465757576,1.22205399401226,23.860152
5,0,50,600,200,-15,80000000,80000000,99,0.388438696969697,0.00841020558177051,0.388832,15.8270708989899,1.14410927769332,16.075233
5,0,50,600,200,-10,80000000,80000000,99,0.388438696969697,0.00841020558177051,0.388832,9.02587694949495,0.922975891175314,9.297428
5,0,50,600,200,-5,80000000,80000000,99,0.388438696969697,0.00841020558177051,0.388832,4.60675637373737,0.717394360354698,4.719181
5,0,50,600,200,0,80000000,80000000,99,0.388438696969697,0.00841020558177051,0.388832,2.26850592929293,0.570357262779793,2.264161
5,0,50,800,200,-20,80000000,80000000,99,0.296747616161616,0.00614081997567211,0.296999,23.6380870808081,1.26036488954084,23.963521
5,0,50,800,200,-15,80000000,80000000,99,0.296747616161616,0.00614081997567211,0.296999,15.8121422020202,1.2003934284067,16.220226
5,0,50,800,200,-10,80000000,80000000,99,0.296747616161616,0.00614081997567211,0.296999,9.02300265656566,0.986332599196818,9.261441
5,0,50,800,200,-5,80000000,80000000,99,0.296747616161616,0.00614081997567211,0.296999,4.6188842020202,0.783004747075557,4.794166
5,0,50,800,200,0,80000000,80000000,99,0.296747616161616,0.00614081997567211,0.296999,2.29083062626263,0.632477864802859,2.307252
5,0,50,1000,200,-20,80000000,80000000,99,0.240209262626263,0.00483190920052937,0.239773,23.7631991919192,1.1170067359177,23.985611
5,0,50,1000,200,-15,80000000,80000000,99,0.240209262626263,0.00483190920052937,0.239773,15.9122092424242,1.08332561641403,16.255274
5,0,50,1000,200,-10,80000000,80000000,99,0.240209262626263,0.00483190920052937,0.239773,9.08083086868687,0.899742538841162,9.408234
5,0,50,1000,200,-5,80000000,80000000,99,0.240209262626263,0.00483190920052937,0.239773,4.63865984848485,0.721421265463888,4.744014
5,0,50,1000,200,0,80000000,80000000,99,0.240209262626263,0.00483190920052937,0.239773,2.28909198989899,0.588289455085197,2.279267
