lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,99,100,0,100,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,1.43538282828283,0.176790794358412,1.466653
5,0,50,200,200,35000000,50000000,99,97.4747474747475,5.70059687949596,100,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,1.4661597979798,0.180572486578839,1.478494
5,0,50,200,200,35000000,75000000,99,71.4343434343434,13.1902573942189,75,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,2.29309336363636,0.539436476623209,2.13719
5,0,50,200,200,35000000,100000000,99,43.8787878787879,11.6997058460081,43,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,4.4837614949495,1.33770304915011,4.056113
5,0,50,200,200,35000000,125000000,99,29.6363636363636,7.38925660486505,30,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,6.88445671717172,1.62300061844385,6.891079
5,0,50,200,200,35000000,150000000,99,22.8888888888889,5.36406959596774,24,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,9.196942,2.77951475320874,9.00732
5,0,50,200,200,35000000,175000000,99,18.8181818181818,4.65408233433489,19,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,13.9089122323232,3.92502904002173,14.434713
5,0,50,200,200,35000000,200000000,99,16.4545454545455,4.23125572925842,17,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,16.7986294040404,3.82470670415389,16.890757
5,0,50,200,200,35000000,225000000,99,14.5151515151515,3.90019265971969,15,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,21.0053478383838,10.2429036861465,19.494653
5,0,50,200,200,35000000,250000000,99,12.979797979798,3.6336853670243,13,100000000,0,100000000,100000000,0,100000000,1.41853546464646,0.0217827445569873,1.417405,23.8634953838384,14.6525607869902,20.44313
