lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,200,200,35000000,25000000,1,100,0,100,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,1.669459,0,1.669459
5,0,50,200,200,35000000,50000000,1,100,0,100,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,1.626025,0,1.626025
5,0,50,200,200,35000000,75000000,1,73,0,73,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,2.153614,0,2.153614
5,0,50,200,200,35000000,100000000,1,42,0,42,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,3.563603,0,3.563603
5,0,50,200,200,35000000,125000000,1,30,0,30,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,4.830973,0,4.830973
5,0,50,200,200,35000000,150000000,1,22,0,22,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,6.429268,0,6.429268
5,0,50,200,200,35000000,175000000,1,15,0,15,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,8.599745,0,8.599745
5,0,50,200,200,35000000,200000000,1,12,0,12,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,10.203415,0,10.203415
5,0,50,200,200,35000000,225000000,1,12,0,12,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,8.415493,0,8.415493
5,0,50,200,200,35000000,250000000,1,12,0,12,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,9.640044,0,9.640044
5,0,50,200,200,35000000,275000000,1,10,0,10,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,12.225116,0,12.225116
5,0,50,200,200,35000000,300000000,1,9,0,9,100000000,0,100000000,92378557.351791,0,92378557.351791,86.638935,0,86.638935,13.096955,0,13.096955
5,0,50,400,200,35000000,25000000,1,51,0,51,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,3.69557,0,3.69557
5,0,50,400,200,35000000,50000000,1,16,0,16,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,11.568794,0,11.568794
5,0,50,400,200,35000000,75000000,1,12,0,12,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,14.180836,0,14.180836
5,0,50,400,200,35000000,100000000,1,10,0,10,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,17.102497,0,17.102497
5,0,50,400,200,35000000,125000000,1,8,0,8,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,20.699175,0,20.699175
5,0,50,400,200,35000000,150000000,1,7,0,7,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,21.269358,0,21.269358
5,0,50,400,200,35000000,175000000,1,5,0,5,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,30.627591,0,30.627591
5,0,50,400,200,35000000,200000000,1,4,0,4,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,34.260826,0,34.260826
5,0,50,400,200,35000000,225000000,1,5,0,5,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,29.657806,0,29.657806
5,0,50,400,200,35000000,250000000,1,3,0,3,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,48.482949,0,48.482949
5,0,50,400,200,35000000,275000000,1,4,0,4,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,39.762478,0,39.762478
5,0,50,400,200,35000000,300000000,1,2,0,2,100000000,0,100000000,26353503.26158,0,26353503.26158,83.015815,0,83.015815,71.868739,0,71.868739
5,0,50,600,200,35000000,25000000,1,100,0,100,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,1.594869,0,1.594869
5,0,50,600,200,35000000,50000000,1,92,0,92,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,1.675605,0,1.675605
5,0,50,600,200,35000000,75000000,1,56,0,56,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,2.792689,0,2.792689
5,0,50,600,200,35000000,100000000,1,35,0,35,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,4.403217,0,4.403217
5,0,50,600,200,35000000,125000000,1,21,0,21,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,7.240797,0,7.240797
5,0,50,600,200,35000000,150000000,1,18,0,18,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,7.715301,0,7.715301
5,0,50,600,200,35000000,175000000,1,16,0,16,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,8.766497,0,8.766497
5,0,50,600,200,35000000,200000000,1,14,0,14,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,10.313678,0,10.313678
5,0,50,600,200,35000000,225000000,1,11,0,11,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,12.976086,0,12.976086
5,0,50,600,200,35000000,250000000,1,6,0,6,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,14.338352,0,14.338352
5,0,50,600,200,35000000,275000000,1,6,0,6,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,16.284767,0,16.284767
5,0,50,600,200,35000000,300000000,1,5,0,5,100000000,0,100000000,77780470.85492,0,77780470.85492,84.187211,0,84.187211,18.203463,0,18.203463
