lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_init_FWA,std_init_FWA,median_init_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,100000000,1,10,99,13.7171717171717,2.82134865724223,14,80000000,0,80000000,62896456.6975502,99165.9007318718,62890305.857087,179.39725730303,0.443563914169786,179.408557,10.8948980505051,2.10163043022883,10.621767
5,0,50,1000,200,35000000,100000000,1,20,99,13.6565656565657,2.82540087876876,14,80000000,0,80000000,62881795.6823098,100669.110346756,62896602.783049,179.183312353535,0.480757545388171,179.159868,10.9381549292929,2.0784101926206,10.686485
5,0,50,1000,200,35000000,100000000,1,30,99,13.7171717171717,2.84655324710072,14,80000000,0,80000000,62889647.9942262,97368.0497407951,62894368.709748,179.273557343434,0.477395688367844,179.322521,10.8963207676768,2.0760047109418,10.614128
5,0,50,1000,200,35000000,100000000,1,40,99,13.6969696969697,2.855194140633,14,80000000,0,80000000,62882861.9192308,105197.951347643,62882828.809578,179.275210757576,0.476494983243996,179.300139,10.916002949495,2.08054895183095,10.68009
5,0,50,1000,200,35000000,100000000,1,50,99,13.6666666666667,2.83922955919311,14,80000000,0,80000000,62908286.9475773,89404.6962682973,62905664.548868,179.281207656566,0.535206521944036,179.266644,10.9403044141414,2.10934852332527,10.665212
5,0,50,1000,200,35000000,100000000,2,10,99,13.7272727272727,2.8813906145888,14,80000000,0,80000000,63277057.0172222,131118.568438569,63280065.39421,183.97412210101,0.634201380157682,183.942045,10.8999898585859,2.10620999022079,10.67558
5,0,50,1000,200,35000000,100000000,2,20,99,13.7575757575758,2.8395562641662,14,80000000,0,80000000,63264058.3215751,124328.244535361,63255510.292054,183.939545525252,0.54637434785671,183.978768,10.8630813838384,2.08653812745648,10.580602
5,0,50,1000,200,35000000,100000000,2,30,99,13.7272727272727,2.83137733058068,14,80000000,0,80000000,63288416.2075996,118619.823995659,63296879.164211,183.954839343434,0.562157420161284,183.972805,10.883690010101,2.07030263977061,10.621787
5,0,50,1000,200,35000000,100000000,2,40,99,13.6767676767677,2.83861234720771,14,80000000,0,80000000,63263434.6784716,137270.445348698,63280289.026039,183.97474010101,0.600917702415732,183.957132,10.9315615050505,2.0798430983769,10.679231
5,0,50,1000,200,35000000,100000000,2,50,99,13.7070707070707,2.8076154645874,14,80000000,0,80000000,63294573.8634606,108317.122763447,63289287.701983,183.996936808081,0.56433165430781,183.987338,10.9009249292929,2.08798420022575,10.664169
5,0,50,1000,200,35000000,100000000,3,10,99,13.7676767676768,2.89555705693481,14,80000000,0,80000000,63330375.4608661,124190.445489005,63326310.155551,185.452163767677,0.653640677696022,185.53721,10.872647969697,2.10476066077965,10.669801
5,0,50,1000,200,35000000,100000000,3,20,99,13.7272727272727,2.80967055160108,14,80000000,0,80000000,63348475.8514131,130565.683644077,63354280.696102,185.470779020202,0.632066135625288,185.566656,10.8793924141414,2.0729179298207,10.635411
5,0,50,1000,200,35000000,100000000,3,30,99,13.8484848484848,2.86913069521008,14,80000000,0,80000000,63345589.9545924,117997.142962676,63341767.827682,185.405631010101,0.625772051154599,185.41131,10.7938625454545,2.08511432007812,10.565759
5,0,50,1000,200,35000000,100000000,3,40,99,13.7676767676768,2.87788287698412,14,80000000,0,80000000,63339934.4347901,130395.632400556,63342128.71531,185.42244830303,0.614687481107659,185.409586,10.8681192121212,2.11647821615927,10.591605
5,0,50,1000,200,35000000,100000000,3,50,99,13.7777777777778,2.83403352692695,14,80000000,0,80000000,63352108.6790422,142576.773146035,63333170.733302,185.450605444444,0.687082444388816,185.489651,10.8455160707071,2.09159084577351,10.500437
5,0,50,1000,200,35000000,100000000,4,10,99,13.7878787878788,2.86168470172667,14,80000000,0,80000000,63357340.6345789,149095.928592964,63343186.81724,186.17192579798,0.727652697940284,186.210875,10.8448488383838,2.09384180722919,10.590253
5,0,50,1000,200,35000000,100000000,4,20,99,13.7575757575758,2.8395562641662,14,80000000,0,80000000,63374348.4310212,126389.225556493,63352279.571244,186.158072676768,0.645237773946255,186.163785,10.8678942020202,2.09573362564583,10.558663
5,0,50,1000,200,35000000,100000000,4,30,99,13.7979797979798,2.78838625695133,14,80000000,0,80000000,63369839.011809,152934.924014587,63382620.940694,186.085011969697,0.707733319255205,186.158283,10.8160746666667,2.0606479828065,10.656792
5,0,50,1000,200,35000000,100000000,4,40,99,13.7777777777778,2.78316937070523,14,80000000,0,80000000,63379661.1648245,132122.464902592,63381399.256521,186.088889909091,0.678650635948428,186.140438,10.8362446161616,2.08332496910675,10.336604
5,0,50,1000,200,35000000,100000000,4,50,99,13.7575757575758,2.86816057491347,14,80000000,0,80000000,63366915.4462851,121809.282045522,63375902.545476,186.172538252525,0.715210438345152,186.166584,10.8760004343434,2.10782679346395,10.602284
5,0,50,1000,200,35000000,100000000,5,10,99,13.7777777777778,2.85555511439332,14,80000000,0,80000000,63374727.0769753,126116.412456496,63366411.329914,186.424088818182,0.740104195894869,186.406721,10.8563992626263,2.08902055638579,10.603225
5,0,50,1000,200,35000000,100000000,5,20,99,13.7474747474747,2.84405371208297,14,80000000,0,80000000,63372331.7777757,142206.505101786,63368945.178821,186.589585353535,0.752686826634862,186.54896,10.8749301616162,2.08195423038864,10.544732
5,0,50,1000,200,35000000,100000000,5,30,99,13.7575757575758,2.84314754112951,14,80000000,0,80000000,63376365.9409052,141549.698848195,63370960.975988,186.514766414141,0.652809279070974,186.594219,10.8707638989899,2.12128420625268,10.580654
5,0,50,1000,200,35000000,100000000,5,40,99,13.8080808080808,2.88442958558876,14,80000000,0,80000000,63387663.0019185,118413.159264781,63406628.684098,186.564318848485,0.725806731584964,186.611566,10.8287796767677,2.08604332765683,10.603167
5,0,50,1000,200,35000000,100000000,5,50,99,13.7373737373737,2.81970420574121,14,80000000,0,80000000,63390206.5700638,143339.128856019,63404069.382835,186.499117060606,0.734117874717064,186.512109,10.870135,2.05797564832529,10.680482
