lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_init_FWA,std_init_FWA,median_init_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,1000,200,35000000,100000000,1,10,99,7.06060606060606,6.436214792363,9,80000000,0,80000000,32166549.8728559,27903211.9224601,48168251.942475,125.294916414141,5.14835327923888,125.789279,12.376470877193,2.29598130352713,12.661714
5,0,50,1000,200,35000000,100000000,1,20,99,7.06060606060606,6.43780001372345,9,80000000,0,80000000,32169559.7107056,27903368.9572664,48185840.481523,125.294493818182,5.14908118479108,125.79328,12.375828245614,2.32106551916287,12.663539
5,0,50,1000,200,35000000,100000000,1,30,99,7.06060606060606,6.44572027263239,9,80000000,0,80000000,32170183.2780172,27905152.4455884,48160733.921867,125.295794424242,5.1497530307696,125.790775,12.3830376140351,2.28568460123596,12.724878
5,0,50,1000,200,35000000,100000000,1,40,99,7.05050505050505,6.42281287696639,9,80000000,0,80000000,32172662.2194911,27906662.5452206,48169121.022145,125.294862222222,5.14928143807193,125.792173,12.3949384385965,2.3177885511108,12.71821
5,0,50,1000,200,35000000,100000000,1,50,99,7.03030303030303,6.41340201589139,9,80000000,0,80000000,32160409.5868167,27899070.2354227,48178814.016447,125.294387555556,5.1496067544594,125.791968,12.433449754386,2.30520327296622,12.706541
5,0,50,1000,200,35000000,100000000,2,10,99,7.02020202020202,6.39352318634113,9,80000000,0,80000000,32169473.7812087,27904728.0449586,48179938.479976,125.294572262626,5.1480227370493,125.793069,12.4363637894737,2.25173485891717,12.686395
5,0,50,1000,200,35000000,100000000,2,20,99,7.02020202020202,6.39352318634113,9,80000000,0,80000000,32163687.5410061,27901126.3455673,48181613.873548,125.293669747475,5.14685948391684,125.792911,12.4287353684211,2.24715944453002,12.70756
5,0,50,1000,200,35000000,100000000,2,30,99,7.06060606060606,6.431456783936,9,80000000,0,80000000,32170783.259322,27905284.4988806,48184744.098206,125.295035414141,5.14873864567626,125.791997,12.3678398947368,2.24387186235271,12.735585
5,0,50,1000,200,35000000,100000000,2,40,99,7.06060606060606,6.44413699961126,9,80000000,0,80000000,32174539.2595326,27907930.0764062,48185613.861917,125.294406121212,5.14623044787386,125.793173,12.3823012631579,2.28864429203447,12.693757
5,0,50,1000,200,35000000,100000000,2,50,99,7.05050505050505,6.43233816213957,9,80000000,0,80000000,32163237.03708,27901704.231802,48181816.800146,125.295359222222,5.14952062430791,125.792437,12.392704122807,2.2599965452459,12.684895
5,0,50,1000,200,35000000,100000000,3,10,99,7.03030303030303,6.40066091207129,9,80000000,0,80000000,32169498.103046,27904303.8770986,48186165.365744,125.294689979798,5.14787756583866,125.791186,12.4180551578947,2.28956771044118,12.709229
