lambdaBS,numCPE,lambdaUE,pow_fac,deployRange,GroupCount,mean_mean_rate_FWA,std_mean_rate_FWA,median_mean_rate_FWA,mean_mean_rate_cell,std_mean_rate_cell,median_mean_rate_cell
20,10,100,1,200,99,32418869.8344333,59450819.0418867,11667722.366701,24407926.2107303,10292557.451003,23674309.965777
20,10,100,20,200,98,149145775.893045,132471469.784468,107021057.604109,21534221.2264584,9384892.46354834,20214561.5308285
20,10,100,30,200,94,168899795.758317,144442490.518788,129375579.848628,19914510.8372058,8517466.13941659,18695949.46407
20,10,100,40,200,94,181896131.242964,150734534.406973,144623070.739047,18574601.8539173,7894173.43646943,17596683.05908
20,10,100,50,200,94,191147841.72638,155167418.450793,155720319.822571,17468105.3948572,7373457.90024421,16708719.5650345
20,10,100,60,200,94,198092406.790583,158477664.203814,164170624.993928,16537247.1949232,6932306.94620288,15960633.179968
20,10,100,70,200,94,203507193.349206,161052186.38426,170825122.380537,15741426.8207582,6553501.34260513,15277202.645164
20,10,100,80,200,94,207852373.469179,163116132.097674,176203663.541696,15051681.1895752,6224316.40454593,14678568.973007
20,10,100,90,200,94,211419201.422461,164810147.111963,180642363.376352,14446877.2106073,5935251.80337177,14152540.887855
20,10,100,100,200,94,214401175.790928,166227044.065853,184072339.68535,13911245.7609427,5679102.22173092,13697088.1736085
20,20,100,1,200,94,37301641.677223,67706811.4806323,18831830.8228965,25012738.7806395,9577776.37720989,28303272.906466
20,20,100,20,200,94,132011340.481893,103370584.252139,113536018.975729,18226385.8424918,7118763.03061283,20465107.137597
20,20,100,30,200,94,144320087.787532,107452159.858031,124589161.787031,15985949.9278328,6220624.45290432,17710224.4803725
20,20,100,40,200,94,151731704.727955,109886165.65357,132326522.378179,14368906.3637908,5564622.59781079,15742482.437376
20,20,100,50,200,94,156685116.537059,111504835.034209,137656597.800245,13138813.5913725,5062927.53313032,14335616.042932
20,20,100,60,200,94,160226423.069625,112659300.708259,141453639.297418,12166112.9029564,4665489.99620354,13226445.395607
20,20,100,70,200,94,162880952.908481,113523962.074536,144288056.584479,11374000.3153614,4341962.55587682,12325483.7612875
20,20,100,80,200,94,164942397.228004,114195606.529512,146479622.658505,10713950.9237773,4072882.14389755,11674126.74492
20,20,100,90,200,94,166587413.571407,114732163.197205,148217678.468718,10153713.515082,3845172.95231037,11040439.940511
20,20,100,100,200,94,167929260.252932,115170527.611185,149630399.538779,9670958.96937436,3649707.87452599,10492136.51507
20,30,100,1,200,94,28265348.8893248,25135531.0211993,21074445.8722825,24542221.0337129,7856279.07884513,26053606.221673
20,30,100,20,200,94,108549567.493476,54531149.0541308,100975374.032366,15223707.7136823,5022178.7802967,16591405.3581785
20,30,100,30,200,94,116926252.518652,57186353.8061094,108066372.130181,12926839.6874019,4270845.61701556,13999498.1209575
20,30,100,40,200,94,121741271.879768,58677499.079439,113325593.545336,11375312.9696509,3759851.72004506,12065673.7794365
20,30,100,50,200,94,124864541.640083,59629505.6979675,116760581.111494,10246409.1065201,3388132.80519208,10769871.593253
20,30,100,60,200,94,127051390.195642,60288243.4754168,118115156.43799,9381968.98049067,3104678.42576823,10042458.654671
20,30,100,70,200,94,128666025.473165,60770405.883599,119094126.901713,8695000.81003539,2880924.69936497,9383330.755541
20,30,100,80,200,94,129905663.419634,61137975.208262,120584815.3439,8133471.68997025,2699577.51270785,8755708.6618645
20,30,100,90,200,94,130886293.779556,61427186.8113204,121652826.846996,7664224.63244005,2549519.26928826,8199196.574048
20,30,100,100,200,94,131680847.04963,61660430.6644808,122283527.81323,7265060.00933206,2423257.21313503,7718229.58786
20,40,100,1,200,94,32215193.5322285,39988959.6335048,20164333.893102,23141504.2103701,7859408.23309971,25294584.0175525
20,40,100,20,200,94,94356900.9101675,55279890.827826,88019090.410397,12612149.7908732,4142978.20562503,14055371.4466285
20,40,100,30,200,94,99854619.2905317,56642522.0774516,94729606.934843,10545523.7790684,3410230.47040913,11365441.202073
20,40,100,40,200,94,102927869.483087,57406650.5674002,97944551.539627,9208167.41266726,2941863.16953271,9725931.548543
20,40,100,50,200,94,104886125.293511,57895151.380668,100006554.551267,8261674.02440316,2616103.67101404,8549480.66326
20,40,100,60,200,94,106240131.95236,58234272.360922,101585386.0285,7550896.66126044,2376473.36388593,7676379.1703465
20,40,100,70,200,94,107230315.017322,58483571.2142821,102788082.397071,6994172.58588666,2193045.83968715,7017011.7670695
20,40,100,80,200,94,107984741.316767,58674659.0025036,103711732.404893,6544180.62646947,2048410.4220855,6572695.7123235
20,40,100,90,200,94,108577842.420351,58825931.1620581,104443380.834282,6171485.53843833,1931712.86113999,6333263.3677205
20,40,100,100,200,94,109055753.711422,58948747.3686854,105037270.856976,5856752.38937347,1835816.71582001,6117497.9686145
20,50,100,1,200,94,23533360.7112109,20532202.2438372,18442054.5393035,22093807.2495744,7513378.95219232,24003915.5877745
20,50,100,20,200,94,75924932.758336,41415283.5679735,67133855.0673255,10685051.9759475,3672146.0512496,11168664.90988
20,50,100,30,200,94,80017154.2501588,42837944.1221845,71544750.3759795,8776034.52886031,3020423.3418014,9061888.072376
20,50,100,40,200,94,82245502.4268261,43576468.0892967,74034994.5155855,7578386.26112834,2620686.04606813,7751746.099625
20,50,100,50,200,94,83638910.1042694,44017515.6525499,75470266.9455965,6747324.92810605,2350996.53299975,6796405.5629105
20,50,100,60,200,94,84587992.5494626,44304570.0566256,76581248.4218035,6131825.58217812,2157375.12527517,6057120.6540145
20,50,100,70,200,94,85273236.495916,44502609.961836,77396847.8729905,5654721.31907459,2012131.57818974,5647041.5496585
20,50,100,80,200,94,85789444.5692299,44645091.9638144,78021065.243926,5272230.43521618,1899556.45723008,5343920.8158035
20,50,100,90,200,94,86191106.3338233,44750908.9139639,78514198.87844,4957548.7058016,1810059.71516342,5029959.65291
20,50,100,100,200,94,86511678.1450488,44831452.7152407,78913620.822957,4693287.38759127,1737451.16192843,4766978.178561
