type,x,y,height,width
gnb,-830.0,-247.0,35.0,8
gnb,830.0,247.0,35.0,8
apt,-899.4,-262.8,0,0
apt,-769.7,-298.9,0,0
apt,-768.1,-317.6,0,0
apt,-721.7,-289.5,0,0
apt,-773.9,-203.1,0,0
apt,755.2,182.5,0,0
apt,884.5,360.3,0,0
apt,983.9,324.4,0,0
apt,929.8,244.5,0,0
apt,741.6,359.2,0,0
home,-574.3,83.9,0,0
home,-1067.3,-536.9,0,0
home,-742.6,-4.1,0,0
home,-920.3,189.6,0,0
home,-1037.3,-354.0,0,0
home,-478.9,-296.5,0,0
home,-721.6,7.3,0,0
home,-1068.7,-412.0,0,0
home,-1075.1,-412.7,0,0
home,-628.5,-124.2,0,0
home,-563.3,70.1,0,0
home,-588.6,-239.9,0,0
home,-1076.8,-482.4,0,0
home,-612.5,-46.5,0,0
home,-1060.9,-143.2,0,0
home,-594.4,-263.2,0,0
home,-729.8,125.3,0,0
home,-1111.2,103.0,0,0
home,-570.0,-356.5,0,0
home,-1076.2,-506.5,0,0
home,-847.9,-21.2,0,0
home,-684.9,-116.6,0,0
home,-1070.1,-257.0,0,0
home,-609.6,-484.7,0,0
home,-1127.6,-163.9,0,0
home,-986.9,-119.2,0,0
home,-529.0,-29.3,0,0
home,-493.9,-285.4,0,0
home,-740.1,-552.5,0,0
home,-1095.0,-52.0,0,0
home,-1176.3,-322.3,0,0
home,-1041.5,135.8,0,0
home,-1057.4,-90.9,0,0
home,-985.0,-148.8,0,0
home,-483.7,-422.4,0,0
home,-574.6,75.7,0,0
home,-1192.8,-150.0,0,0
home,-1176.5,-211.6,0,0
home,-1187.4,-32.7,0,0
home,-538.0,-322.7,0,0
home,-609.8,-125.7,0,0
home,-1013.3,-248.7,0,0
home,-1275.9,-266.6,0,0
home,-1241.3,-218.3,0,0
home,-1270.9,-209.7,0,0
home,-657.4,-192.1,0,0
home,-1053.9,-76.2,0,0
home,-878.8,12.4,0,0
home,-837.6,-70.9,0,0
home,-1127.5,-200.9,0,0
home,-734.4,64.5,0,0
home,-976.2,-45.9,0,0
home,1047.5,512.7,0,0
home,715.2,504.0,0,0
home,1263.1,329.0,0,0
home,662.4,537.1,0,0
home,1019.6,48.6,0,0
home,850.4,535.7,0,0
home,695.0,120.3,0,0
home,572.7,361.2,0,0
home,659.2,461.0,0,0
home,578.7,-114.1,0,0
home,438.5,207.3,0,0
home,552.1,-62.6,0,0
home,765.4,-106.5,0,0
home,1050.7,302.9,0,0
home,790.1,-111.5,0,0
home,505.3,110.1,0,0
home,962.6,-62.8,0,0
home,1142.3,440.0,0,0
home,1106.1,463.8,0,0
home,533.9,382.1,0,0
home,867.6,636.8,0,0
home,820.6,538.8,0,0
home,826.6,-46.7,0,0
home,773.4,-165.0,0,0
home,579.6,68.5,0,0
home,398.0,257.6,0,0
home,1043.1,187.0,0,0
home,835.0,655.5,0,0
home,1256.2,253.5,0,0
home,577.2,55.6,0,0
home,417.6,128.8,0,0
home,543.4,421.0,0,0
home,867.0,434.5,0,0
home,1115.7,581.7,0,0
home,1167.1,-27.9,0,0
home,943.2,498.6,0,0
home,1196.2,223.4,0,0
home,600.0,451.3,0,0
home,949.9,-106.0,0,0
home,1174.2,93.6,0,0
home,843.5,456.6,0,0
home,1141.8,380.8,0,0
home,1259.4,360.3,0,0
home,885.9,-65.9,0,0
home,655.6,505.2,0,0
home,557.4,369.8,0,0
home,902.3,588.3,0,0
home,906.6,-98.5,0,0
home,938.0,-66.0,0,0
home,1075.1,325.3,0,0
home,1136.5,76.5,0,0
home,782.7,-9.7,0,0
mall,-8.6,-55.1,0,0
mall,-51.9,-32.7,0,0
mall,-6.4,-57.7,0,0
mall,-47.9,-56.0,0,0
mall,-17.9,15.3,0,0
mall,60.0,-0.3,0,0
office,-1266.2,171.2,0,0
office,-785.9,361.8,0,0
office,380.3,-147.2,0,0
