num_rep,GroupCount,mean_numCPE,std_numCPE,median_numCPE,mean_numUE,std_numUE,median_numUE,mean_init_FWA,std_init_FWA,median_init_FWA,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se_ue,std_cell_se_ue,median_cell_se_ue,mean_FWA_se,std_FWA_se,median_FWA_se
0,99,76,0,76,66,0,66,88.2525252525252,14.3628939684823,88,46482126.4352536,5359699.77426603,46686596.427896,1.15934118181818,0.047493706739573,1.161905,6.77751408080808,1.22958688336652,6.518554
1,99,76,0,76,66,0,66,97.9191919191919,14.5220991115489,99,51293630.7466169,4323507.52060254,51588701.579498,1.18601353535354,0.0480852143050386,1.188104,6.18812464646465,1.04346419391749,5.916329
2,99,76,0,76,66,0,66,104.323232323232,15.0697888632937,106,54148036.0539775,4507248.57088409,54638784.753861,1.21476865656566,0.052770599239976,1.222095,5.86836214141414,1.00384161483759,5.556758
3,99,76,0,76,66,0,66,108.656565656566,15.4081621731574,111,56147381.3919508,4938295.8754733,56346171.08924,1.24312194949495,0.0566424428405626,1.250359,5.67039082828283,0.973455492352928,5.3777
4,99,76,0,76,66,0,66,110.464646464646,15.6513761090976,113,57106172.6179246,5154415.86871092,57824759.126915,1.26976937373737,0.0617217652986642,1.28152,5.59275826262626,0.956758400377765,5.272878
5,99,76,0,76,66,0,66,112.10101010101,15.4269145601716,114,57918313.4475972,5231162.49731228,58871945.796775,1.29757114141414,0.0631099751462428,1.308965,5.5193002020202,0.934340235197215,5.234935
6,99,76,0,76,66,0,66,113.232323232323,15.1285837601651,115,58567522.2116863,5276025.29503055,59540282.610142,1.32455647474747,0.0677383161898161,1.341413,5.46583346464646,0.899445533319406,5.222166
7,99,76,0,76,66,0,66,113.292929292929,14.913527981061,116,58594041.9404924,5167638.92990651,59699085.570485,1.32461951515151,0.0664264835752329,1.341616,5.46005037373738,0.885848636614442,5.224332
8,99,76,0,76,66,0,66,113.373737373737,14.895956072642,116,58654599.1129143,5093399.32237007,59716534.388744,1.32424932323232,0.0656062058358824,1.336373,5.45644681818182,0.883443643986029,5.226635
9,99,76,0,76,66,0,66,112.959595959596,14.8371563312634,115,58462026.5070787,5074163.15046426,59500124.346544,1.32261357575758,0.0656615781585179,1.330583,5.47237527272727,0.881181043461706,5.255173
10,99,76,0,76,66,0,66,113.161616161616,14.8294433205735,115,58528951.2280127,5131322.55681712,59717599.173119,1.32194706060606,0.066113942722721,1.334346,5.46315524242424,0.876041593315475,5.222166
11,99,76,0,76,66,0,66,112.909090909091,14.8420877767679,115,58434637.6486872,5185827.72487432,59607913.403646,1.32201566666667,0.0659596024523607,1.332812,5.47335426262626,0.877807567246138,5.210331
12,99,76,0,76,66,0,66,112.626262626263,14.7838755644734,115,58276545.693314,5216863.62421075,58837579.149675,1.32063415151515,0.0656065226113249,1.333074,5.48368539393939,0.874029807302486,5.255173
