num_rep,GroupCount,mean_numCPE,std_numCPE,median_numCPE,mean_numUE,std_numUE,median_numUE,mean_init_FWA,std_init_FWA,median_init_FWA,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se_ue,std_cell_se_ue,median_cell_se_ue,mean_FWA_se,std_FWA_se,median_FWA_se
0,100,76,0,76,66,0,66,108.15,15.7347810068438,110,53122541.8712299,4720831.75511124,53418036.4040215,1.44487543,0.081449305905514,1.4479005,6.36121799,1.12138087410139,6.0041265
1,100,76,0,76,66,0,66,116.6,14.2743677883672,120,57157386.7465871,3861043.86877517,57300567.948198,1.48095611,0.0795926824996672,1.4835435,5.92903327,0.902379874804676,5.7311025
2,100,76,0,76,66,0,66,120.26,13.9469557881846,123,59352165.365025,3883582.42360097,59635188.6841145,1.51779508,0.0832103947801492,1.5253655,5.76930001,0.861651996576608,5.591977
3,100,76,0,76,66,0,66,122.98,12.6849787886574,125,61023584.0564971,4067113.47793187,61553518.503093,1.5538606,0.0849568121207309,1.5682925,5.64547064,0.789738162720955,5.453358
4,100,76,0,76,66,0,66,124.28,12.282104909587,127.5,62138760.5860925,4182587.26413028,63076198.9085255,1.58980049,0.0877414890906713,1.5942425,5.58992158,0.756659965790302,5.4139115
5,100,76,0,76,66,0,66,125.98,11.7077027221528,129,63242279.4691487,4166060.8818858,64129077.8917265,1.62502828,0.0869250746676781,1.6297855,5.52007301,0.725835216007265,5.3440745
6,100,76,0,76,66,0,66,127.15,11.198281794611,129.5,64175555.7025873,4080282.22454515,65001402.1767475,1.65995436,0.0863299768859092,1.6716895,5.47111238,0.692554204703109,5.3388835
7,100,76,0,76,66,0,66,126.92,11.2471590127723,129.5,63950365.2878681,3990577.13656799,64679024.3439915,1.65219251,0.0847221949671419,1.659705,5.47985832,0.69419588029338,5.3289175
8,100,76,0,76,66,0,66,126.79,11.2746206458165,129,63838373.5353861,3984972.10167847,64727029.0124425,1.64566426,0.0847008495923688,1.6594975,5.4848207,0.694338788314196,5.342618
9,100,76,0,76,66,0,66,126.59,11.2807111674949,129,63600380.8437076,3955433.65906694,64330186.937429,1.63921511,0.0847922042334409,1.6494485,5.49211658,0.693120232732733,5.342618
10,100,76,0,76,66,0,66,126.4,11.2285710613955,129,63453734.047177,4018780.22739823,64217132.937273,1.63400745,0.0851183517569846,1.6485185,5.49821594,0.689390848181758,5.374705
11,100,76,0,76,66,0,66,126.23,11.1933015683488,129,63335620.2839116,3997752.30020159,63994776.334583,1.62937677,0.0845109732139728,1.645547,5.50451603,0.69070301628882,5.374705
12,100,76,0,76,66,0,66,126.03,11.2109749618826,129,63227762.3382607,4008229.07913791,63914049.64919,1.62522724,0.0845784558667898,1.639755,5.51199608,0.691134578058218,5.395243
