num_rep,GroupCount,mean_numCPE,std_numCPE,median_numCPE,mean_numUE,std_numUE,median_numUE,mean_init_FWA,std_init_FWA,median_init_FWA,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se_ue,std_cell_se_ue,median_cell_se_ue,mean_FWA_se,std_FWA_se,median_FWA_se
0,100,76,0,76,66,0,66,89.85,15.1159658719655,89,44554226.8577202,5867781.86180755,44714363.9699075,1.29250029,0.0812895976355114,1.2957505,7.47137063,1.37380911141338,7.102678
1,100,76,0,76,66,0,66,102.25,15.4340401696897,102,50587278.5225802,4571700.90322576,50928755.774858,1.33211058,0.0794235407244965,1.335342,6.67221227,1.15086333552936,6.455496
2,100,76,0,76,66,0,66,110,15.8910431540932,112,54009841.4696689,4628451.10469174,54203162.9093605,1.37252917,0.0835370976142893,1.3805915,6.26543369,1.07508726825958,6.057432
3,100,76,0,76,66,0,66,115.65,15.1052703358527,118,56627387.9424593,4800181.59443508,57601653.426274,1.41183632,0.0854604291632405,1.4273785,5.9859486,0.976636428278572,5.7349285
4,100,76,0,76,66,0,66,118.5,14.7281768022791,122,58249158.1629472,4924954.1585667,58986783.54262,1.45009498,0.0886814793674963,1.45449,5.85380664,0.917792492111905,5.6322825
5,100,76,0,76,66,0,66,120.56,13.9155606528385,123,59642538.6863889,4826565.86437466,60657085.995011,1.48740505,0.087602305355876,1.4944485,5.75682287,0.865513330652162,5.616749
6,100,76,0,76,66,0,66,122.46,13.0743174880289,124.5,60727633.1382902,4727099.95839691,61603312.5089985,1.52390895,0.0873283291283591,1.5407225,5.66995343,0.811626528549056,5.55057
7,100,76,0,76,66,0,66,122.1,13.2699249843738,125,60512294.9178664,4615836.38188233,61444921.2232665,1.51666221,0.0856996791695485,1.5278845,5.68543382,0.811513331901308,5.547388
8,100,76,0,76,66,0,66,121.94,13.2236549601481,125,60396404.1671737,4592219.7233955,61303465.3774465,1.51052366,0.0856326033968937,1.5257425,5.69129821,0.808630474688267,5.544468
9,100,76,0,76,66,0,66,121.57,13.1235427281422,124,60118655.3659305,4546870.33656533,60636403.0804275,1.50432525,0.0857266635229393,1.5160215,5.70508604,0.805004940659259,5.583198
10,100,76,0,76,66,0,66,121.17,13.1687225092358,124,59945508.3055784,4682551.06333266,60538471.323843,1.49942955,0.0861828134269786,1.5153595,5.72137386,0.806674673051151,5.6014065
11,100,76,0,76,66,0,66,120.99,13.1866897999,123.5,59787149.6988142,4661259.84747772,60385083.311141,1.49521624,0.0855498666515818,1.511647,5.72852342,0.806281607448791,5.616749
12,100,76,0,76,66,0,66,120.67,13.2253620752024,122.5,59662209.7038814,4662660.18238581,60231965.986406,1.49120407,0.0855380035836461,1.5078375,5.74180925,0.808547085513335,5.616749
