num_rep,demand_profile,GroupCount,mean_numCPE,std_numCPE,median_numCPE,mean_init_FWA,std_init_FWA,median_init_FWA,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
0,high,1,66,0,66,120,0,120,120,0,120,35577305.592748,0,35577305.592748,80.922654,0,80.922654,23.88165,0,23.88165
0,low,1,66,0,66,132,0,132,132,0,132,35577305.592748,0,35577305.592748,80.922654,0,80.922654,21.710591,0,21.710591
0,medium,1,66,0,66,130,0,130,130,0,130,35577305.592748,0,35577305.592748,80.922654,0,80.922654,22.0446,0,22.0446
6,high,1,66,0,66,124,0,124,124,0,124,45057151.56739,0,45057151.56739,88.169818,0,88.169818,23.111274,0,23.111274
6,low,1,66,0,66,132,0,132,132,0,132,45057151.56739,0,45057151.56739,88.169818,0,88.169818,21.710591,0,21.710591
6,medium,1,66,0,66,131,0,131,131,0,131,45057151.56739,0,45057151.56739,88.169818,0,88.169818,21.876321,0,21.876321
12,high,1,66,0,66,126,0,126,126,0,126,47454455.225638,0,47454455.225638,89.048957,0,89.048957,22.744429,0,22.744429
12,low,1,66,0,66,132,0,132,132,0,132,47454455.225638,0,47454455.225638,89.048957,0,89.048957,21.710591,0,21.710591
12,medium,1,66,0,66,131,0,131,131,0,131,47454455.225638,0,47454455.225638,89.048957,0,89.048957,21.876321,0,21.876321
18,high,1,66,0,66,124,0,124,124,0,124,46176937.213926,0,46176937.213926,89.051578,0,89.051578,23.111274,0,23.111274
18,low,1,66,0,66,132,0,132,132,0,132,46176937.213926,0,46176937.213926,89.051578,0,89.051578,21.710591,0,21.710591
18,medium,1,66,0,66,131,0,131,131,0,131,46176937.213926,0,46176937.213926,89.051578,0,89.051578,21.876321,0,21.876321
