eps,activity,f_FWA,f_cell_rep,f_cell_plain
0.01,0.025,0.897175060717305,0.390874130592743,0.390874130592743
0.02,0.025,0.906624838001377,0.412650200748117,0.412650200748117
0.03,0.025,0.91607461528545,0.425736171740255,0.425736171740255
0.04,0.025,0.921448890181507,0.439985183181985,0.439985183181985
0.05,0.025,0.926823165077565,0.453013612340337,0.453013612340337
0.06,0.025,0.930051122207446,0.461834461652298,0.461834461652298
0.07,0.025,0.933279079337327,0.475239228426697,0.475239228426697
0.08,0.025,0.936048011769643,0.486324926585399,0.486324926585399
0.09,0.025,0.93881694420196,0.497263049813335,0.497263049813335
0.1,0.025,0.941567369117352,0.507705232221418,0.507705232221418
0.11,0.025,0.944317794032744,0.519427526554498,0.519427526554498
0.12,0.025,0.946531013793789,0.529317855004517,0.529317855004517
0.13,0.025,0.948744233554833,0.536028617208803,0.536028617208803
0.14,0.025,0.950590019862115,0.548790233947686,0.548790233947686
0.15,0.025,0.952435806169397,0.556599590646867,0.556599590646867
0.16,0.025,0.954543201640027,0.565649999697782,0.565649999697782
0.17,0.025,0.956650597110657,0.575300726631675,0.575300726631675
0.18,0.025,0.958679143019692,0.58410446952972,0.58410446952972
0.19,0.025,0.960707688928726,0.59076240352221,0.59076240352221
0.2,0.025,0.962484914586014,0.600579638126134,0.600579638126134
