eps,activity,f_FWA,f_cell_rep,f_cell_plain
0.01,0.05,0.872404780759975,0.332125831173339,0.332125831173339
0.02,0.05,0.883183676126812,0.376983357854665,0.376983357854665
0.03,0.05,0.89396257149365,0.403407881770084,0.403407881770084
0.04,0.05,0.90025645009823,0.424652013085624,0.424652013085624
0.05,0.05,0.906550328702811,0.442776558865942,0.442776558865942
0.06,0.05,0.910996125788018,0.458731401054341,0.458731401054341
0.07,0.05,0.915441922873225,0.472816751932234,0.472816751932234
0.08,0.05,0.91915586450833,0.485922829497265,0.485922829497265
0.09,0.05,0.922869806143436,0.498542778415798,0.498542778415798
0.1,0.05,0.926013639953639,0.51017576509374,0.51017576509374
0.11,0.05,0.929157473763842,0.521539523948395,0.521539523948395
0.12,0.05,0.931971814523799,0.532517272996932,0.532517272996932
0.13,0.05,0.934786155283757,0.543189582435601,0.543189582435601
0.14,0.05,0.937257800485211,0.553478088272838,0.553478088272838
0.15,0.05,0.939729445686665,0.563672674880743,0.563672674880743
0.16,0.05,0.942050904337063,0.573557123399189,0.573557123399189
0.17,0.05,0.94437236298746,0.583497494673684,0.583497494673684
0.18,0.05,0.946502738941231,0.593092606393311,0.593092606393311
0.19,0.05,0.948633114895003,0.602263419803631,0.602263419803631
0.2,0.05,0.950670656063912,0.611431355916512,0.611431355916512
